tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2022-8888,ATP Cup,Hard,16,A,20220103,294,RH16,,,Casper Ruud,R,183,NOR,23.0335386721,8,4160,L987,,,Dusan Lajovic,R,180,SRB,31.5126625599,33,1591,6-3 7-5,3,R128,100,1,3,65,39,31,11,11,2,4,4,0,63,38,24,9,10,3,7
2022-8888,ATP Cup,Hard,16,A,20220103,293,KB05,,,Filip Krajinovic,R,185,SRB,29.8507871321,42,1402,DC76,,,Viktor Durasovic,R,185,NOR,24.7939767283,345,137,6-2 7-5,3,R128,73,8,0,51,34,27,12,10,2,3,4,1,63,38,27,10,10,7,11
2022-8888,ATP Cup,Hard,16,A,20220103,292,GD64,,,Cristian Garin,R,185,CHI,25.5961670089,17,2353,L987,,,Dusan Lajovic,R,180,SRB,31.5126625599,33,1591,4-6 6-4 3-0 RET,3,R128,134,4,1,92,59,36,14,11,9,13,6,5,79,51,29,13,12,8,14
2022-8888,ATP Cup,Hard,16,A,20220103,291,KB05,,,Filip Krajinovic,R,185,SRB,29.8507871321,42,1402,TE30,,,Alejandro Tabilo,L,,CHI,24.5886379192,139,505,6-4 3-6 7-6(5),3,R128,145,5,2,97,65,49,12,15,2,6,11,4,101,65,42,19,16,1,5
2022-8888,ATP Cup,Hard,16,A,20220103,290,BD06,,,Roberto Bautista Agut,R,183,ESP,33.7221081451,19,2260,L987,,,Dusan Lajovic,R,180,SRB,31.5126625599,33,1591,6-1 6-4,3,R128,84,1,0,50,31,28,10,9,2,2,2,0,54,32,23,8,8,4,7
2022-8888,ATP Cup,Hard,16,A,20220103,289,CD85,,,Pablo Carreno Busta,R,188,ESP,30.4804928131,20,2230,KB05,,,Filip Krajinovic,R,185,SRB,29.8507871321,42,1402,6-3 6-4,3,R128,80,4,2,54,33,29,11,10,1,2,4,1,57,34,25,9,9,3,6
2022-8888,ATP Cup,Hard,16,A,20220103,288,RH16,,,Casper Ruud,R,183,NOR,23.0335386721,8,4160,GD64,,,Cristian Garin,R,185,CHI,25.5961670089,17,2353,6-4 6-1,3,R128,84,4,1,57,36,30,12,9,3,3,3,2,54,36,23,8,8,4,7
2022-8888,ATP Cup,Hard,16,A,20220103,287,TE30,,,Alejandro Tabilo,L,,CHI,24.5886379192,139,505,DC76,,,Viktor Durasovic,R,185,NOR,24.7939767283,345,137,6-1 6-7(5) 6-1,3,R128,109,11,0,77,52,38,21,14,1,2,11,6,95,57,36,16,12,6,11
2022-8888,ATP Cup,Hard,16,A,20220103,286,BD06,,,Roberto Bautista Agut,R,183,ESP,33.7221081451,19,2260,RH16,,,Casper Ruud,R,183,NOR,23.0335386721,8,4160,6-4 7-6(4),3,R128,105,2,0,63,39,36,14,11,0,0,10,3,71,43,36,12,11,2,3
2022-8888,ATP Cup,Hard,16,A,20220103,285,CD85,,,Pablo Carreno Busta,R,188,ESP,30.4804928131,20,2230,DC76,,,Viktor Durasovic,R,185,NOR,24.7939767283,345,137,6-3 6-3,3,R128,68,7,0,44,33,30,6,9,0,0,8,3,65,34,23,15,9,5,8
