"tourney_id","tourney_name","surface","draw_size","tourney_level","tourney_date","match_num","winner_id","winner_seed","winner_entry","winner_name","winner_hand","winner_ht","winner_ioc","winner_age","winner_rank","winner_rank_points","loser_id","loser_seed","loser_entry","loser_name","loser_hand","loser_ht","loser_ioc","loser_age","loser_rank","loser_rank_points","score","best_of","round","minutes","w_ace","w_df","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_SvGms","w_bpSaved","w_bpFaced","l_ace","l_df","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_SvGms","l_bpSaved","l_bpFaced"
"2025-339","Brisbane","Hard",32,"A",20241229,"","V832","","","Aleksandar Vukic","R",196,"AUS","",68,778,"GB88","","","David Goffin","R",180,"BEL","","52","1037","6-2 6-3  ","","R32","","","","","","","","","","","","","","","","","","",""
"2025-339","Brisbane","Hard",32,"A",20241229,"","M0QL","","","Alex Michelsen","R",188,"DEN","",41,1245,"O483","","","Christopher O'Connell","R",183,"AUS","","64","795","6-4 4-6 7-6  ","","R32","","","","","","","","","","","","","","","","","","",""
"2025-339","Brisbane","Hard",32,"A",20241229,"","BM95","","","Benjamin Bonzi","R",180,"FRA","",75,730,"TE30","","","Alejandro Tabilo","L",185,"CHI","","23","1943","6-7 7-6 6-4  ","","R32","","","","","","","","","","","","","","","","","","",""
"2025-339","Brisbane","Hard",32,"A",20241229,"","N732","","","Yoshihito Nishioka","L",175,"JPN","",69,776,"RC91","","","Arthur Rinderknech","R",188,"FRA","","59","927","6-3 6-4  ","","R32","","","","","","","","","","","","","","","","","","",""
"2025-339","Brisbane","Hard",32,"A",20241229,"","TC61","","","Jordan Thompson","R",193,"AUS","",26,1745,"BK40","","","Matteo Berrettini","R",196,"ITA","","34","1380","3-6 6-3 6-4  ","","R32","","","","","","","","","","","","","","","","","","",""
"2025-339","Brisbane","Hard",32,"A",20241229,"","J551","","","Nicolás Jarry","R",201,"CHI","",35,1370,"N0BS","","","Mariano Navone","R",180,"ITA","","47","1148","7-5 7-6  ","","R32","","","","","","","","","","","","","","","","","","",""
"2025-339","Brisbane","Hard",32,"A",20241229,"","D875","","","Grigor Dimitrov","R",191,"BUL","",10,3350,"H997","","","Yannick Hanfmann","R",193,"GER","","96","627","7-6 6-3  ","","R32","","","","","","","","","","","","","","","","","","",""
"2025-339","Brisbane","Hard",32,"A",20241229,"","L0BV","","","Jiri Lehecka","R",185,"CZE","",28,1660,"R0DG","","","Holger Rune","R",188,"DNK","","13","3025","7-5 6-3  ","","R32","","","","","","","","","","","","","","","","","","",""
"2025-339","Brisbane","Hard",32,"A",20241229,"","O522","","","Reilly Opelka","R",211,"USA","",293,176,"GJ16","","","Federico Agustin Gomez","R",191,"ARG","","137","442","7-5 6-4  ","","R32","","","","","","","","","","","","","","","","","","",""
"2025-339","Brisbane","Hard",32,"A",20241229,"","A0FC","","","Matteo Arnaldi","R",185,"ITA","",37,1345,"P09Z","","","Alexei Popyrin","R",196,"AUS","","24","1865","6-3 6-2  ","","R32","","","","","","","","","","","","","","","","","","",""
