"id","player","atpname","birthdate","weight","height","turnedpro","birthplace","coaches","hand","backhand","ioc"
"000001","Kodjo Charles Alipoe-Tchotchodji","Kokou Bernard Alipoe-Tchotchodji","19930316","","","","","","","","TGO"
"104421","Martin Vilarrubi","Martin Vilarrubi",19840902,,,,"","","R","","URU"
"104437","Dekel Valtzer","Dekel Valtzer",19841003,,,,"","","","","ISR"
"104631","Harshana Godamanna","Harshana Godamanna",,19851031,,,"","","","","SRI"
"108586","Augusto Sanabria","Augusto Sanabria",19800604,,,,"","","","","ESA"
"108589","Vasuthevan Ortchuan","Vasuthevan Ortchuan",19730422,,,,"","","","","MAS"
"108590","Mohammed Nazreen Fuzi Nasruddin","Mohammed Nazreen Fuzi Nasruddin",19810723,,,,"","","","","MAS"
"108599","Ivo Lagzdins","Ivo Lagzdins",19800902,,,,"","","","","LAT"
"108625","Mohammed Rajan Sundera Karuppiah","Mohammed Rajan Sundera Karuppiah",19800715,,,,"","","","","MAS"
"108642","Hayk Hakobyan","Hayk Hakobyan",19800427,,,,"","","","","ARM"
"108733","Jose Medrano","Jose Medrano",19721025,,,,"","","","","BOL"
"108752","Shehab Shehab","Shehab Shehab",,19690804,,,"","","","","BRN"
"108753","Othman Al Anazi","Othman Al Anazi",,,,,"","","","","KSA"
"108754","Esam Abdulaal","Esam Abdulaal",19690811,,,,"","","","","BRN"
"108756","Goudjo Gbedey","Goudjo Gbedey",19630911,,,,"","","","","TOG"
"108769","Johann Coles","Johann Coles",19900718,,,,"","","","","HAI"
"108794","Arthur Konan","Arthur Konan",19810531,,,,"","","","","CIV"
"108800","Alexander Lehnhoff","Alexander Lehnhoff",,19770204,,,"","","","","GUA"
"108802","David Cardoza","David Cardoza",,,,,"","","","","HAI"
"108803","Jean Max Mangones","Jean Max Mangones",,19751029,,,"","","","","HAI"
"108808","Eugenius Cariovas","Eugenius Cariovas",19800309,,,,"","","R","","LTU"
"108815","Kojo Atiso","Kojo Atiso",19661115,,,,"","","","","GHA"
"108817","Konstantin Pugaev","Konstantin Pugaev",,,,,"","","","","URS"
"108819","Irakli Kunchulia","Irakli Kunchulia",,,,,"","","","","GEO"
"108826","Isaac Tetteh Quaye","Isaac Tetteh Quaye",,,,,"","","","","GHA"
"108827","Mike Amoah","Mike Amoah",19740312,,,,"","","","","GHA"
"108829","Alexander Ofori","Alexander Ofori",19761130,,,,"","","","","GHA"
"108830","Philippe Lacombe","Philippe Lacombe",,,,,"","","","","HAI"
"108833","Farah Al Somali","Farah Al Somali",19690908,,,,"","","","","KSA"
"108835","Manjule Weerakoon","Manjule Weerakoon",19780113,,,,"","","","","SRI"
"108840","Alex Zakharia","Alex Zakharia",19780612,,,,"","","","","LIB"
"108842","Zulfiqar Ahmed","Zulfiqar Ahmed",19560201,,,,"","","","","KSA"
"108843","Toufiq Zhalan","Toufiq Zhalan",,19731206,,,"","","","","LIB"
"108845","Farhad Tadayon","Farhad Tadayon",,,,,"","","","","IRI"
"108847","Jahanbakhsh Souri","Jahanbakhsh Souri",19650322,,,,"","","","","IRI"
"108851","Iman Nilipour","Iman Nilipour",,,,,"","","","","IRI"
"108852","Asiri Iddamalgoda","Asiri Iddamalgoda",,,,,"","","","","SRI"
"108859","Jesse Smatt","Jesse Smatt",,,,,"","","","","JAM"
"108861","Goran Popov","Goran Popov",,,,,"","","","","MKD"
"108863","Alvis Tabors","Alvis Tabors",,,,,"","","","","LAT"
"108865","Gitanas Mazonas","Gitanas Mazonas",,,,,"","","","","LTU"
"108866","Denis Ivancovas","Denis Ivancovas",,,,,"","","","","LTU"
"108867","Serge Brueck","Serge Brueck",,,,,"","","","","LUX"
"108871","Kim Huat Khoo","Kim Huat Khoo",19760302,,,,"","","","","MAS"
"108872","Yang Tat Lim","Yang Tat Lim",,,,,"","","","","SIN"
"108876","El Hadj Diedhiou","El Hadj Diedhiou",,,,,"","","","","SEN"
"108878","Lency Tenai","Lency Tenai",,,,,"","","","","SOL"
"108879","Lawrence Tere","Lawrence Tere",,,,,"","","","","PNG"
"108880","Sanjeev Tikaram","Sanjeev Tikaram",,,,,"","","","","FIJ"
"108881","Ju Min Lam","Ju Min Lam",,,,,"","","","","SIN"
"108883","Kuen Yiep Ho","Kuen Yiep Ho",,,,,"","","","","SIN"
"108884","Yuan Xiong Hui","Yuan Xiong Hui",,19810621,,,"","","","","SIN"
"108887","Wael Zeidan","Wael Zeidan",,,,,"","","","","SEN"
"108888","Ee Wei Tan","Ee Wei Tan",19690422,,,,"","","","","SGP"
"108895","Mohammed Fawzy","Mohammed Fawzy",,,,,"","","","","EGY"
"108905","Mansur Yakhyaev","Mansur Yakhyaev",19760901,,,,"","","","","TJK"
"108908","Mario Alberto Cayo","Mario Alberto Cayo",,,,,"","","","","PER"
"108935","Marius Tangen","Marius Tangen",19860528,,,,"","","","","NOR"
"108966","Igor Chaldounov","Igor Chaldounov",19750119,,,,"","","","","KAZ"
"110782","Djamel Boudjemline","Djamel Boudjemline",,,,,"","","","","ALG"
"110785","Philippe Koffi","Philippe Koffi",19681120,,,,"","","","","CIV"
"110786","Antoine Beugre","Antoine Beugre",19661230,,,,"","","","","CIV"
"110787","Abdel Halem Azzi","Abdel Halem Azzi",19581223,,,,"","","","","ALG"
"110790","Moussa Said","Moussa Said",19520321,,,,"","","","","ALG"
"110791","Fouad Kamel Boudjemline","Fouad Kamel Boudjemline",,,,,"","","","","ALG"
"110793","Mustapha Dislam","Mustapha Dislam",19570219,,,,"","","","","MAR"
"110795","Sadri Gueche","Sadri Gueche",,19690315,,,"","","","","ALG"
"110798","Elias Bramly","Elias Bramly",19630719,,,,"","","","","TUN"
"110799","Colon Nunez","Colon Nunez",19550408,,,,"","","","","ECU"
"110810","Lionel Eli","Lionel Eli",19600810,,,,"","","","","BAR"
"110813","Rafael Moreno","Rafael Moreno",19600716,,,,"","","","","DOM"
"110817","Ifthekar Sardar","Ifthekar Sardar",19621010,,,,"","","","","BAN"
"110818","Shovon Jamaly","Shovon Jamaly",19680118,,,,"","","","","BAN"
"110819","Ali Kadhim","Ali Kadhim",,,,,"","","","","IRQ"
"110820","Mahtabur Rahman","Mahtabur Rahman",,,,,"","","","","BAN"
"110821","Kadhim Kadhim","Kadhim Kadhim",,,,,"","","","","IRQ"
"110822","Faisal Rahman","Faisal Rahman",,,,,"","","","","BAN"
"110823","Usman Rahim","Usman Rahim",,,,,"","","","","PAK"
"110824","Shibu Lal","Shibu Lal",19730428,,,,"","","","","BAN"
"110826","Asaf Raja","Asaf Raja",,,,,"","","","","PAK"
"110829","Barunur Rashid Bhuiyan","Barunur Rashid Bhuiyan",,,,,"","","","","BAN"
"110830","Chee Leong Wong","Chee Leong Wong",,,,,"","","","","SIN"
"110831","Dishan Herath","Dishan Herath",,,,,"","","","","SRI"
"110832","Faisal Syed Haq","Faisal Syed Haq",,,,,"","","","","BAN"
"110836","Richard Taylor","Richard Taylor",,,,,"","","","","BAR"
"110837","Craig Smith","Craig Smith",,,,,"","","","","BAR"
"110840","Tomas Rodriguez Sanchez","Tomas Rodriguez Sanchez",,,,,"","","","","CUB"
"110842","Ramiro Gonzalo Benavides Saravia","Ramiro Gonzalo Benavides Saravia",,,,,"","","","","BOL"
"110845","Christian Hohnhold","Christian Hohnhold",,,,,"","","","","PER"
"110850","Roberto Vaz Carvalhaes","Roberto Vaz Carvalhaes",,,,,"","","","","BRA"
"110851","Mohammed Ahmed Saleh","Mohammed Ahmed Saleh",,,,,"","","","","BRN"
"110852","Umesha Wallooppillai","Umesha Wallooppillai",,,,,"","","","","SRI"
"110853","Nader Abdul Ali","Nader Abdul Ali",,,,,"","","","","BRN"
"110854","Malik Sanjaya Wijemanne","Malik Sanjaya Wijemanne",,,,,"","","","","SRI"
"110855","Dawood Dawoodian","Dawood Dawoodian",,,,,"","","","","SYR"
"110857","Samer Mourad","Samer Mourad",,,,,"","","","","SYR"
"110859","Milen Yanakiev","Milen Yanakiev",,,,,"","","","","BUL"
"110863","Anatol Navrotchi","Anatol Navrotchi",,,,,"","","","","LUX"
"110866","Christopher Gatt","Christopher Gatt",,,,,"","","","","MLT"
"110867","Anders Haseth","Anders Haseth",,,,,"","","","","NOR"
"110871","Francisco Arrellaga","Francisco Arrellaga",,,,,"","","","","PAR"
"110872","Abraham Sojo","Abraham Sojo",,,,,"","","","","VEN"
"110874","Crepin Ossombi","Crepin Ossombi",,,,,"","","","","CGO"
"110875","Christian Bemba","Christian Bemba",,,,,"","","","","CGO"
"110876","Norbert Oduor","Norbert Oduor",,,,,"","","","","KEN"
"110877","Alberto Jimenez","Alberto Jimenez",,,,,"","","","","COL"
"110882","Kelvin Ng","Kelvin Ng",,,,,"","","","","HKG"
"110884","Shi Qin Li","Shi Qin Li",,,,,"","","","","CHN"
"110886","Frank Sebaratnam","Frank Sebaratnam",,,,,"","","","","SRI"
"110887","Arjun Perera","Arjun Perera",,,,,"","","","","SRI"
"110890","Lionel Kemajou","Lionel Kemajou",,,,,"","","","","CMR"
"110892","Katore Agnamba","Katore Agnamba",,,,,"","","","","TOG"
"110893","Mensah Gbeboume","Mensah Gbeboume",,,,,"","","","","TOG"
"110894","Koko Kunkel","Koko Kunkel",,,,,"","","","","TOG"
"110895","Abdel Majid Soudani","Abdel Majid Soudani",,,,,"","","","","TUN"
"110896","Hassan Soudani","Hassan Soudani",,,,,"","","","","TUN"
"110898","Clive Wilson","Clive Wilson",,,,,"","","","","ZIM"
"110900","Jean-Yves Job","Jean-Yves Job",,,,,"","","","","CMR"
"110901","Samson Ahinakwa","Samson Ahinakwa",,,,,"","","","","GHA"
"110902","Khaled Ezankouli","Khaled Ezankouli",,,,,"","","","","LBA"
"110903","Zacharie Moungnol","Zacharie Moungnol",,,,,"","","","","CMR"
"110904","Abdul Hakim Jteli","Abdul Hakim Jteli",,,,,"","","","","LBA"
"110905","Fred Kangwa","Fred Kangwa",,,,,"","","","","ZAM"
"110906","Luc Ondobo","Luc Ondobo",,,,,"","","","","CMR"
"110907","Pierre Moudourou","Pierre Moudourou",,,,,"","","","","CMR"
"110908","Jerry Williams","Jerry Williams",,,,,"","","","","ECA"
"110909","Fabio Sical","Fabio Sical",,,,,"","","","","GUA"
